regnum,dq,t,year,month,quarter,Name,Total_assets,Net_worth,Net_income,Loans_wins,Admin_expenses,Rel_Admin_expenses,Securities_wins,Cash,Liabilities,NIE_wins,NII_wins,II_Loans_wins,IE_Deposits_wins,Leverage,Deposits_wins,Pure_deposits,Sales,Safe_funds,Safe_funds_income,Safe_rev,PoL_wins,CoF_wins,ruo,key_rate,NIE_TA,NII_TA,Loans_TA,Deposits_TA,Securities_TA,II_Loans_TA,IE_Deposits_TA,Sales_TA,CPI_year,CPI_FRED,CPI,ruo_q,GDP_growth,m_L_wins_break,m_D_wins_break,m_L_wins_trend,m_D_wins_trend
1,2017q4,1,2017,12,2017q4,Акционерное общество «ЮниКредит Банк»,1189608803,187245325,4963486,902535380,11302205,.0095007745163769,176084846,65877208,1002363478,12263548,7011184,17935465,10044432,.1574007560534167,924306116,806114802,22755839,26582432,2739296,.1030491115335121,.019872312374059,.0108669972275722,7.938469967958506,8.2497289405987,.0103088914347921,.0058936887339089,.7586824994266623,.7769832516950532,.1480191181806512,.0150767756213384,.0084434748420402,.0191288421392087,3.686993952164698,3.68332944412253,2.569999999999993,.019281318,1.826705251293492,-.26026452,1.2958462,-.10325175,.24023089
1,2018q1,2,2018,3,2018q1,Акционерное общество «ЮниКредит Банк»,1186803680.87215,192381162.5371655,8099290.386521307,885052664.0237858,6233376.610505451,.005252239027372,173148929.6333003,79547202.1803766,994422518.334985,6928666.005946481,5579082.259663032,16849013.87512388,9957786.917740336,.1621002408720115,929347399.4053518,828332242.8146679,21052985.13379584,26179382.55698711,2667337.958374628,.1018869697391978,.0190373008974651,.0107148165735568,7.134349393911887,7.58470439501564,.0058380894141269,.004700931038201,.7457447919047442,.7830675067694427,.1458951740915211,.0141969679962081,.008390424699747,.0177392314104761,2.862989207274794,2.87829723647867,2.239999999999995,.01737763,2.806340848208899,-.15394455,1.2363982,.0026497946,.29839694
1,2018q2,3,2018,6,2018q2,Акционерное общество «ЮниКредит Банк»,1196808299.811885,185753057.2365041,2799501.694329503,932316884.0420384,9085958.414640293,.0075918243682538,156454205.834409,59359097.82470334,1011055242.575381,9948633.680214699,6382216.68941529,18264623.92592925,10557034.97338519,.1552070262762223,957922980.7254205,851617531.0783985,23124266.32502216,25734269.27296132,3216425.218746696,.1249860714765332,.0195905750915326,.0110207555156371,6.984828947426447,7.250000000000001,.0083126376060213,.0053326975509933,.7790026892264872,.800398009335319,.1307262039033323,.0152611106797973,.0088209907760872,.0193216125996593,2.862989207274794,2.87829723647867,2.370000000000005,.017022472,2.806340848208899,-.15606298,1.003842,.034736805,.12985907
1,2018q3,4,2018,9,2018q3,Акционерное общество «ЮниКредит Банк»,1191611620.475015,187894209.9703618,4030878.126662749,950398941.0134646,12677757.62843041,.0106391691811269,130108078.537394,61400115.77636678,1003717410.504654,13551031.41316675,6327661.116474099,19183691.49884029,10917414.88864172,.1576807465971681,959980648.1202911,840455407.3199513,24229795.10953227,33955359.04638086,2946186.399895327,.0867664628688221,.0201848830748734,.0113725364256236,7.079323134017357,7.288423662270072,.0113720201954433,.0053101707030615,.7975744149210334,.8056153797305298,.1091866479831144,.0160989463086916,.009161890251028,.0203336344604239,2.862989207274794,2.87829723647867,2.980000000000004,.017246969,2.806340848208899,-.16696107,.67033833,.046934951,-.0083201583
1,2018q4,5,2018,12,2018q4,Акционерное общество «ЮниКредит Банк»,1322874365.618597,192626875.4502824,5645392.721982149,1111974671.070678,10268328.53208989,.00776213433336,93318199.98529784,64229020.45683378,1130247490.168315,11236388.22361219,8254792.869568517,18510877.81527777,11569330.403565,.1456123729181244,1093863160.597854,975501981.2077963,23663030.56483549,37742476.20085805,2446497.295770037,.0648207945538671,.0166468520343672,.0105765792471169,7.321223748417882,7.53902423028483,.0084939193892066,.006240042958054,.8405746607318232,.8268836323594086,.0705419973435352,.0139929220010411,.0087456002657932,.0178875871963626,2.862989207274794,2.87829723647867,3.870000000000005,.017820993,2.806340848208899,-.30153647,1.4031339,-.085366532,.10125951
1,2019q1,6,2019,3,2019q1,Акционерное общество «ЮниКредит Банк»,1382369801.992962,194672363.0420983,2052435.371326897,1034951917.245341,8645720.72062744,.0062542748750464,147582954.2764813,106142134.7239754,1187697438.950864,9539428.010576488,7749977.57153611,15549604.65790464,11814170.71749424,.1408250981477165,1158272551.297071,971728829.029282,23036117.55071746,38036091.13668431,2738192.84527509,.0719893333790604,.015024470604675,.0101998192949184,7.573094411210013,7.74999999999999,.0069007786460783,.0056062983728109,.7486794892027092,.8378890725384698,.106760834954374,.0112485129778492,.0085463171290792,.0166642222055967,4.467793788947205,4.47036660760193,5.159999999999997,.018417645,2.198075696208202,-.39637366,1.8918593,-.24021608,.31705084
1,2019q2,7,2019,6,2019q2,Акционерное общество «ЮниКредит Банк»,1247533853.285623,189783101.0091236,3286988.802453502,951245434.7859433,9461353.108522009,.0075840451813021,134699566.2445833,74610118.99373408,1057750752.2765,10398940.3714673,8104330.417723052,15250634.86298088,12632750.81637771,.1521266140468195,1026700041.123255,912189044.2273118,23428002.97834438,44060003.01281486,2806509.101989869,.0636974332746549,.0160322817910949,.0123042274377986,7.618170305415228,7.708292995124966,.0083355977427624,.0064962809597341,.7625006987030079,.8229837117599982,.1079726741601647,.0122246260675134,.0101261787670987,.0187794526911171,4.467793788947205,4.47036660760193,4.989999999999995,.018524315,2.198075696208202,-.37431869,1.2163551,-.19822644,.099593863
1,2019q3,8,2019,9,2019q3,Акционерное общество «ЮниКредит Банк»,1298036097.464336,193297355.6053063,3652237.721875315,998462062.5074956,10321216.06294485,.0079514091195976,125568370.4639293,81759508.7709171,1104738741.85903,11188022.29804228,9287762.186216256,15167241.99476335,11852612.3128015,.1489152389389673,1072690411.112017,948291217.5924684,22613791.13830964,56513411.40118036,2327226.752659156,.0411800791167696,.0151906041944878,.0110494250624599,7.056934150568295,7.264993658151586,.0086191919623019,.0071552418336898,.7692097811901789,.8263949001167817,.0967371945273497,.0116847613285886,.0091311885208394,.0174215425768858,4.467793788947205,4.47036660760193,4.290000000000006,.017193791,2.198075696208202,-.38713166,1.6807907,-.17693545,.072762184
1,2019q4,9,2019,12,2019q4,Акционерное общество «ЮниКредит Банк»,1145434696.18163,197607325.5096669,3138369.770525621,860815409.2664387,2141714.568537512,.0018697832147717,129424970.2830981,69320370.55407362,947827370.6719632,3088396.930104304,1771132.774996333,14767418.32000436,10452475.2989475,.1725173213002905,926208392.9772538,802620147.1403108,22123915.5976717,35605261.60142448,1798252.511471578,.050505246432444,.0171551509894423,.0112852306005871,6.466480056414547,6.599650321330652,.0026962662650255,.0015462538204059,.7515185388883492,.808608640950742,.1129920114298471,.0128924140059947,.0091253349787565,.0193148641921037,4.467793788947205,4.47036660760193,3.439999999999998,.015788341,2.198075696208202,-.030809354,.47456115,.05365672,.2401443
1,2020q1,10,2020,3,2020q1,Акционерное общество «ЮниКредит Банк»,1438066375.410911,202415231.8524481,4167373.863158168,1057775702.153839,7180896.655134415,.0049934389524145,115297832.8269826,136094005.7363216,1235651143.558463,8072984.670571103,6189678.444089639,15329393.58057867,9084339.421563713,.1407551385064617,1203740529.155519,1085016982.309347,19776162.0505474,100469725.9892924,1880644.790828198,.0187185221449557,.0144921022002727,.0075467587918941,5.900333138298031,6.104095100195539,.0056137775061074,.0043041674222589,.7355541581671372,.837054916058074,.08017559884469,.0106597260339937,.0063170515470595,.0137519118649141,3.374910257449599,3.38165937237877,2.420000000000002,.014435249,-2.65365446124276,-.25841448,2.0402393,-.037564322,.29848298
